GEO_ID,NAME,Estimate!!Unemployment rate!!Population 16 years and over
36001,"Albany County, New York",3.9
36005,"Bronx County, New York",9.1
36007,"Broome County, New York",3.8
36009,"Cattaraugus County, New York",3.7
36011,"Cayuga County, New York",2.8
36013,"Chautauqua County, New York",4.7
36015,"Chemung County, New York",6.9
36019,"Clinton County, New York",3.1
36027,"Dutchess County, New York",3.2
36029,"Erie County, New York",3.5
36045,"Jefferson County, New York",6
36047,"Kings County, New York",4.5
36051,"Livingston County, New York",2.3
36053,"Madison County, New York",2.2
36055,"Monroe County, New York",4.5
36059,"Nassau County, New York",3.4
36061,"New York County, New York",4.2
36063,"Niagara County, New York",4.5
36065,"Oneida County, New York",4.7
36067,"Onondaga County, New York",3.9
36069,"Ontario County, New York",2.3
36071,"Orange County, New York",3
36075,"Oswego County, New York",4.6
36079,"Putnam County, New York",2.9
36081,"Queens County, New York",4.6
36083,"Rensselaer County, New York",4.6
36085,"Richmond County, New York",4
36087,"Rockland County, New York",5.3
36089,"St. Lawrence County, New York",6.6
36091,"Saratoga County, New York",2
36093,"Schenectady County, New York",5.4
36101,"Steuben County, New York",5.5
36103,"Suffolk County, New York",3.1
36105,"Sullivan County, New York",7
36109,"Tompkins County, New York",3
36111,"Ulster County, New York",3.1
36113,"Warren County, New York",2.6
36117,"Wayne County, New York",3.3
36119,"Westchester County, New York",4.7