id,Geographic Area Name,Estimate!!Total!!Population 20 to 64 years,Estimate!!Total!!Population 20 to 64 years!!DISABILITY STATUS!!With any disability,Percent of Population 20 to 64 Years with Any Disability
36001,"Albany County, New York",187623,16786,8.946664322
36003,"Allegany County, New York",26053,3484,13.37274018
36005,"Bronx County, New York",862708,114165,13.2333304
36007,"Broome County, New York",112438,14858,13.21439371
36009,"Cattaraugus County, New York",43896,5885,13.40668854
36011,"Cayuga County, New York",46514,5203,11.18587952
36013,"Chautauqua County, New York",73794,9813,13.29782909
36015,"Chemung County, New York",49817,6084,12.21269848
36017,"Chenango County, New York",27661,4691,16.9588952
36019,"Clinton County, New York",49925,6237,12.49273911
36021,"Columbia County, New York",35314,4392,12.43699383
36023,"Cortland County, New York",28406,3116,10.96951348
36025,"Delaware County, New York",25114,3038,12.09683842
36027,"Dutchess County, New York",177789,17810,10.01749265
36029,"Erie County, New York",548167,59036,10.76971069
36031,"Essex County, New York",22363,2656,11.87676072
36033,"Franklin County, New York",31410,3687,11.7382999
36035,"Fulton County, New York",31679,4356,13.75043404
36037,"Genesee County, New York",34445,4188,12.15851357
36039,"Greene County, New York",28401,3295,11.60170417
36041,"Hamilton County, New York",2460,403,16.38211382
36043,"Herkimer County, New York",35444,4880,13.76819772
36045,"Jefferson County, New York",69165,8182,11.82968264
36047,"Kings County, New York",1605452,118571,7.385521336
36049,"Lewis County, New York",15324,1660,10.83268076
36051,"Livingston County, New York",38483,4035,10.48514929
36053,"Madison County, New York",41697,4494,10.7777538
36055,"Monroe County, New York",442132,51456,11.63815331
36057,"Montgomery County, New York",28149,4169,14.81047284
36059,"Nassau County, New York",795356,42657,5.363258717
36061,"New York County, New York",1104481,74762,6.768971128
36063,"Niagara County, New York",125308,15122,12.06786478
36065,"Oneida County, New York",133467,16430,12.31015907
36067,"Onondaga County, New York",273063,29165,10.68068541
36069,"Ontario County, New York",63181,6427,10.17236194
36071,"Orange County, New York",219240,22559,10.28963693
36073,"Orleans County, New York",25136,3234,12.86600891
36075,"Oswego County, New York",70867,9381,13.23747301
36077,"Otsego County, New York",34533,3718,10.76651319
36079,"Putnam County, New York",60418,4519,7.479559072
36081,"Queens County, New York",1447402,94458,6.526037687
36083,"Rensselaer County, New York",96672,11006,11.38488911
36085,"Richmond County, New York",285495,22324,7.819401391
36087,"Rockland County, New York",175438,12026,6.854843306
36089,"St. Lawrence County, New York",63271,8225,12.99963648
36091,"Saratoga County, New York",136056,11717,8.611895102
36093,"Schenectady County, New York",91818,10350,11.27229955
36095,"Schoharie County, New York",17932,2352,13.11621682
36097,"Schuyler County, New York",10531,1540,14.62349255
36099,"Seneca County, New York",20728,2677,12.91489772
36101,"Steuben County, New York",55646,7726,13.88419653
36103,"Suffolk County, New York",887598,64764,7.29654641
36105,"Sullivan County, New York",43801,5834,13.31933061
36107,"Tioga County, New York",28126,3222,11.45559269
36109,"Tompkins County, New York",63916,4670,7.306464735
36111,"Ulster County, New York",108529,10989,10.12540427
36113,"Warren County, New York",37850,4731,12.4993395
36115,"Washington County, New York",37315,4385,11.75130645
36117,"Wayne County, New York",53041,6460,12.17925756
36119,"Westchester County, New York",567094,36507,6.437557089
36121,"Wyoming County, New York",24908,2516,10.10117231
36123,"Yates County, New York",13663,1169,8.555954036